output_column,role,analysis_group,source_column,source_file,source_grain,aggregation,description,datasource,measurement,unit,depth,source_summary_stat,source_summary_class,temporal_match,depth_match,notes,output_index,output_type,output_nonmissing_rows,output_nonmissing_fraction,fticr_date_start,fticr_date_end,output_grain,join_key,missing_value
vwc_cs655_cen_20_30cm__same_day_mean,covariate,vwc,vwc_cs655_cen_20_30cm,joined_data_flux_final_2_hourly.csv,hourly,arithmetic mean within exact FT-ICR date,Mean of observed hourly vwc_cs655_cen_20_30cm values on the FT-ICR collection date within plot.,flux,vwc_cs655_cen_20_30cm,percent_volume,20-30cm,,none,same plot and exact FT-ICR collection date,source-specific sensor depth; not selected by FT-ICR depth,"No interpolation, nearest-date matching, or carry-forward.",11,numeric,195,1,2017-05-31,2024-04-30,one row per FT-ICR spectrum,sample_num (also unique by plot + date + depth_cm),blank field means no observation on the exact FT-ICR date
temp_cs655_cen_40_50cm__same_day_mean,covariate,temperature,temp_cs655_cen_40_50cm,joined_data_flux_final_2_hourly.csv,hourly,arithmetic mean within exact FT-ICR date,Mean of observed hourly temp_cs655_cen_40_50cm values on the FT-ICR collection date within plot.,flux,temp_cs655_cen_40_50cm,degC,40-50cm,,none,same plot and exact FT-ICR collection date,source-specific sensor depth; not selected by FT-ICR depth,"No interpolation, nearest-date matching, or carry-forward.",12,numeric,191,0.979487179487179,2017-05-31,2024-04-30,one row per FT-ICR spectrum,sample_num (also unique by plot + date + depth_cm),blank field means no observation on the exact FT-ICR date
vwc_cs655_cen_40_50cm__same_day_mean,covariate,vwc,vwc_cs655_cen_40_50cm,joined_data_flux_final_2_hourly.csv,hourly,arithmetic mean within exact FT-ICR date,Mean of observed hourly vwc_cs655_cen_40_50cm values on the FT-ICR collection date within plot.,flux,vwc_cs655_cen_40_50cm,percent_volume,40-50cm,,none,same plot and exact FT-ICR collection date,source-specific sensor depth; not selected by FT-ICR depth,"No interpolation, nearest-date matching, or carry-forward.",13,numeric,189,0.969230769230769,2017-05-31,2024-04-30,one row per FT-ICR spectrum,sample_num (also unique by plot + date + depth_cm),blank field means no observation on the exact FT-ICR date
nh4_ugN.mL_lysimiter.surface.chemistry__same_day,covariate,surface_lysimeter,nh4_ugN.mL_lysimiter.surface.chemistry,joined_data_flux_final_2_daily.csv,daily or event-level joined observation,none across dates; exact-date source value retained,nh4_ugN.mL_lysimiter.surface.chemistry observed for the plot on the FT-ICR collection date.,lysimiter.surface.chemistry,nh4,ugN.mL,,,none,same plot and exact FT-ICR collection date,separate surface lysimeter measurement; not the depth-matched FT-ICR sample,"No interpolation, nearest-date matching, carry-forward, or averaging across dates. Any mean or SD encoded in the source variable is the original within-event summary.",14,numeric,90,0.461538461538462,2017-05-31,2024-04-30,one row per FT-ICR spectrum,sample_num (also unique by plot + date + depth_cm),blank field means no observation on the exact FT-ICR date
nh4_ugN_lysimiter.surface.chemistry__same_day,covariate,surface_lysimeter,nh4_ugN_lysimiter.surface.chemistry,joined_data_flux_final_2_daily.csv,daily or event-level joined observation,none across dates; exact-date source value retained,nh4_ugN_lysimiter.surface.chemistry observed for the plot on the FT-ICR collection date.,lysimiter.surface.chemistry,nh4,ugN,,,none,same plot and exact FT-ICR collection date,separate surface lysimeter measurement; not the depth-matched FT-ICR sample,"No interpolation, nearest-date matching, carry-forward, or averaging across dates. Any mean or SD encoded in the source variable is the original within-event summary.",15,numeric,90,0.461538461538462,2017-05-31,2024-04-30,one row per FT-ICR spectrum,sample_num (also unique by plot + date + depth_cm),blank field means no observation on the exact FT-ICR date
no3_ugN.mL_lysimiter.surface.chemistry__same_day,covariate,surface_lysimeter,no3_ugN.mL_lysimiter.surface.chemistry,joined_data_flux_final_2_daily.csv,daily or event-level joined observation,none across dates; exact-date source value retained,no3_ugN.mL_lysimiter.surface.chemistry observed for the plot on the FT-ICR collection date.,lysimiter.surface.chemistry,no3,ugN.mL,,,none,same plot and exact FT-ICR collection date,separate surface lysimeter measurement; not the depth-matched FT-ICR sample,"No interpolation, nearest-date matching, carry-forward, or averaging across dates. Any mean or SD encoded in the source variable is the original within-event summary.",16,numeric,90,0.461538461538462,2017-05-31,2024-04-30,one row per FT-ICR spectrum,sample_num (also unique by plot + date + depth_cm),blank field means no observation on the exact FT-ICR date
no3_ugN_lysimiter.surface.chemistry__same_day,covariate,surface_lysimeter,no3_ugN_lysimiter.surface.chemistry,joined_data_flux_final_2_daily.csv,daily or event-level joined observation,none across dates; exact-date source value retained,no3_ugN_lysimiter.surface.chemistry observed for the plot on the FT-ICR collection date.,lysimiter.surface.chemistry,no3,ugN,,,none,same plot and exact FT-ICR collection date,separate surface lysimeter measurement; not the depth-matched FT-ICR sample,"No interpolation, nearest-date matching, carry-forward, or averaging across dates. Any mean or SD encoded in the source variable is the original within-event summary.",17,numeric,90,0.461538461538462,2017-05-31,2024-04-30,one row per FT-ICR spectrum,sample_num (also unique by plot + date + depth_cm),blank field means no observation on the exact FT-ICR date
npoc_ug.mL_lysimiter.surface.chemistry__same_day,covariate,surface_lysimeter,npoc_ug.mL_lysimiter.surface.chemistry,joined_data_flux_final_2_daily.csv,daily or event-level joined observation,none across dates; exact-date source value retained,npoc_ug.mL_lysimiter.surface.chemistry observed for the plot on the FT-ICR collection date.,lysimiter.surface.chemistry,npoc,ug.mL,,,none,same plot and exact FT-ICR collection date,separate surface lysimeter measurement; not the depth-matched FT-ICR sample,"No interpolation, nearest-date matching, carry-forward, or averaging across dates. Any mean or SD encoded in the source variable is the original within-event summary.",18,numeric,115,0.58974358974359,2017-05-31,2024-04-30,one row per FT-ICR spectrum,sample_num (also unique by plot + date + depth_cm),blank field means no observation on the exact FT-ICR date
npoc_ug_lysimiter.surface.chemistry__same_day,covariate,surface_lysimeter,npoc_ug_lysimiter.surface.chemistry,joined_data_flux_final_2_daily.csv,daily or event-level joined observation,none across dates; exact-date source value retained,npoc_ug_lysimiter.surface.chemistry observed for the plot on the FT-ICR collection date.,lysimiter.surface.chemistry,npoc,ug,,,none,same plot and exact FT-ICR collection date,separate surface lysimeter measurement; not the depth-matched FT-ICR sample,"No interpolation, nearest-date matching, carry-forward, or averaging across dates. Any mean or SD encoded in the source variable is the original within-event summary.",19,numeric,115,0.58974358974359,2017-05-31,2024-04-30,one row per FT-ICR spectrum,sample_num (also unique by plot + date + depth_cm),blank field means no observation on the exact FT-ICR date
po4_ugP.mL_lysimiter.surface.chemistry__same_day,covariate,surface_lysimeter,po4_ugP.mL_lysimiter.surface.chemistry,joined_data_flux_final_2_daily.csv,daily or event-level joined observation,none across dates; exact-date source value retained,po4_ugP.mL_lysimiter.surface.chemistry observed for the plot on the FT-ICR collection date.,lysimiter.surface.chemistry,po4,ugP.mL,,,none,same plot and exact FT-ICR collection date,separate surface lysimeter measurement; not the depth-matched FT-ICR sample,"No interpolation, nearest-date matching, carry-forward, or averaging across dates. Any mean or SD encoded in the source variable is the original within-event summary.",20,numeric,90,0.461538461538462,2017-05-31,2024-04-30,one row per FT-ICR spectrum,sample_num (also unique by plot + date + depth_cm),blank field means no observation on the exact FT-ICR date
po4_ugP_lysimiter.surface.chemistry__same_day,covariate,surface_lysimeter,po4_ugP_lysimiter.surface.chemistry,joined_data_flux_final_2_daily.csv,daily or event-level joined observation,none across dates; exact-date source value retained,po4_ugP_lysimiter.surface.chemistry observed for the plot on the FT-ICR collection date.,lysimiter.surface.chemistry,po4,ugP,,,none,same plot and exact FT-ICR collection date,separate surface lysimeter measurement; not the depth-matched FT-ICR sample,"No interpolation, nearest-date matching, carry-forward, or averaging across dates. Any mean or SD encoded in the source variable is the original within-event summary.",21,numeric,90,0.461538461538462,2017-05-31,2024-04-30,one row per FT-ICR spectrum,sample_num (also unique by plot + date + depth_cm),blank field means no observation on the exact FT-ICR date
tn_ug.mL_lysimiter.surface.chemistry__same_day,covariate,surface_lysimeter,tn_ug.mL_lysimiter.surface.chemistry,joined_data_flux_final_2_daily.csv,daily or event-level joined observation,none across dates; exact-date source value retained,tn_ug.mL_lysimiter.surface.chemistry observed for the plot on the FT-ICR collection date.,lysimiter.surface.chemistry,tn,ug.mL,,,none,same plot and exact FT-ICR collection date,separate surface lysimeter measurement; not the depth-matched FT-ICR sample,"No interpolation, nearest-date matching, carry-forward, or averaging across dates. Any mean or SD encoded in the source variable is the original within-event summary.",22,numeric,115,0.58974358974359,2017-05-31,2024-04-30,one row per FT-ICR spectrum,sample_num (also unique by plot + date + depth_cm),blank field means no observation on the exact FT-ICR date
tn_ug_lysimiter.surface.chemistry__same_day,covariate,surface_lysimeter,tn_ug_lysimiter.surface.chemistry,joined_data_flux_final_2_daily.csv,daily or event-level joined observation,none across dates; exact-date source value retained,tn_ug_lysimiter.surface.chemistry observed for the plot on the FT-ICR collection date.,lysimiter.surface.chemistry,tn,ug,,,none,same plot and exact FT-ICR collection date,separate surface lysimeter measurement; not the depth-matched FT-ICR sample,"No interpolation, nearest-date matching, carry-forward, or averaging across dates. Any mean or SD encoded in the source variable is the original within-event summary.",23,numeric,115,0.58974358974359,2017-05-31,2024-04-30,one row per FT-ICR spectrum,sample_num (also unique by plot + date + depth_cm),blank field means no observation on the exact FT-ICR date
