metric,sample_num,plot,date,treatment,treatment_label,depth_cm,depth_label,value,metric_label,multiplier,metric_order,value_plot
richness,7,1,2019-09-10,control,Control,10,0-10 cm,568,"Formula richness
(detected formulae)",1,1,568
richness,73,5,2019-09-10,control,Control,10,0-10 cm,1570,"Formula richness
(detected formulae)",1,1,1570
richness,36,3,2019-11-05,control,Control,10,0-10 cm,55,"Formula richness
(detected formulae)",1,1,55
richness,8,1,2019-12-03,control,Control,10,0-10 cm,285,"Formula richness
(detected formulae)",1,1,285
richness,37,3,2019-12-17,control,Control,10,0-10 cm,332,"Formula richness
(detected formulae)",1,1,332
richness,74,5,2019-12-17,control,Control,10,0-10 cm,536,"Formula richness
(detected formulae)",1,1,536
richness,38,3,2019-12-31,control,Control,10,0-10 cm,192,"Formula richness
(detected formulae)",1,1,192
richness,9,1,2020-01-28,control,Control,10,0-10 cm,603,"Formula richness
(detected formulae)",1,1,603
richness,39,3,2020-01-28,control,Control,10,0-10 cm,143,"Formula richness
(detected formulae)",1,1,143
richness,75,5,2020-01-28,control,Control,10,0-10 cm,370,"Formula richness
(detected formulae)",1,1,370
richness,76,5,2020-02-25,control,Control,10,0-10 cm,732,"Formula richness
(detected formulae)",1,1,732
richness,40,3,2020-03-10,control,Control,10,0-10 cm,172,"Formula richness
(detected formulae)",1,1,172
richness,77,5,2020-03-10,control,Control,10,0-10 cm,695,"Formula richness
(detected formulae)",1,1,695
richness,78,5,2020-07-28,control,Control,10,0-10 cm,1079,"Formula richness
(detected formulae)",1,1,1079
richness,79,5,2020-09-09,control,Control,10,0-10 cm,886,"Formula richness
(detected formulae)",1,1,886
richness,80,5,2020-10-06,control,Control,10,0-10 cm,746,"Formula richness
(detected formulae)",1,1,746
richness,81,5,2020-11-05,control,Control,10,0-10 cm,1320,"Formula richness
(detected formulae)",1,1,1320
richness,82,5,2021-02-09,control,Control,10,0-10 cm,1023,"Formula richness
(detected formulae)",1,1,1023
richness,83,5,2021-02-23,control,Control,10,0-10 cm,1686,"Formula richness
(detected formulae)",1,1,1686
richness,84,5,2021-06-03,control,Control,10,0-10 cm,996,"Formula richness
(detected formulae)",1,1,996
richness,10,1,2021-12-15,control,Control,10,0-10 cm,280,"Formula richness
(detected formulae)",1,1,280
richness,41,3,2021-12-15,control,Control,10,0-10 cm,276,"Formula richness
(detected formulae)",1,1,276
richness,85,5,2021-12-15,control,Control,10,0-10 cm,2342,"Formula richness
(detected formulae)",1,1,2342
richness,11,1,2022-08-23,control,Control,10,0-10 cm,354,"Formula richness
(detected formulae)",1,1,354
richness,86,5,2022-08-23,control,Control,10,0-10 cm,1008,"Formula richness
(detected formulae)",1,1,1008
richness,12,1,2022-09-08,control,Control,10,0-10 cm,289,"Formula richness
(detected formulae)",1,1,289
richness,42,3,2022-09-08,control,Control,10,0-10 cm,101,"Formula richness
(detected formulae)",1,1,101
richness,87,5,2022-09-08,control,Control,10,0-10 cm,294,"Formula richness
(detected formulae)",1,1,294
richness,13,1,2022-11-16,control,Control,10,0-10 cm,743,"Formula richness
(detected formulae)",1,1,743
richness,43,3,2022-11-16,control,Control,10,0-10 cm,407,"Formula richness
(detected formulae)",1,1,407
richness,88,5,2022-11-16,control,Control,10,0-10 cm,1135,"Formula richness
(detected formulae)",1,1,1135
richness,44,3,2023-05-30,control,Control,10,0-10 cm,180,"Formula richness
(detected formulae)",1,1,180
richness,45,3,2023-12-27,control,Control,10,0-10 cm,121,"Formula richness
(detected formulae)",1,1,121
richness,46,3,2024-04-16,control,Control,10,0-10 cm,251,"Formula richness
(detected formulae)",1,1,251
richness,47,3,2024-04-30,control,Control,10,0-10 cm,292,"Formula richness
(detected formulae)",1,1,292
richness,14,2,2017-05-31,warmed,Warmed,10,0-10 cm,944,"Formula richness
(detected formulae)",1,1,944
richness,89,6,2017-05-31,warmed,Warmed,10,0-10 cm,645,"Formula richness
(detected formulae)",1,1,645
richness,48,4,2017-10-20,warmed,Warmed,10,0-10 cm,731,"Formula richness
(detected formulae)",1,1,731
richness,15,2,2017-12-06,warmed,Warmed,10,0-10 cm,383,"Formula richness
(detected formulae)",1,1,383
richness,49,4,2017-12-06,warmed,Warmed,10,0-10 cm,1397,"Formula richness
(detected formulae)",1,1,1397
richness,50,4,2018-01-17,warmed,Warmed,10,0-10 cm,878,"Formula richness
(detected formulae)",1,1,878
richness,51,4,2018-01-30,warmed,Warmed,10,0-10 cm,1335,"Formula richness
(detected formulae)",1,1,1335
richness,52,4,2018-02-13,warmed,Warmed,10,0-10 cm,1246,"Formula richness
(detected formulae)",1,1,1246
richness,53,4,2018-02-27,warmed,Warmed,10,0-10 cm,1132,"Formula richness
(detected formulae)",1,1,1132
richness,16,2,2018-05-09,warmed,Warmed,10,0-10 cm,863,"Formula richness
(detected formulae)",1,1,863
richness,54,4,2018-05-09,warmed,Warmed,10,0-10 cm,1227,"Formula richness
(detected formulae)",1,1,1227
richness,17,2,2018-05-22,warmed,Warmed,10,0-10 cm,793,"Formula richness
(detected formulae)",1,1,793
richness,55,4,2018-05-22,warmed,Warmed,10,0-10 cm,1382,"Formula richness
(detected formulae)",1,1,1382
richness,18,2,2018-10-10,warmed,Warmed,10,0-10 cm,443,"Formula richness
(detected formulae)",1,1,443
richness,90,6,2018-10-10,warmed,Warmed,10,0-10 cm,721,"Formula richness
(detected formulae)",1,1,721
richness,56,4,2018-10-23,warmed,Warmed,10,0-10 cm,1927,"Formula richness
(detected formulae)",1,1,1927
richness,91,6,2018-10-23,warmed,Warmed,10,0-10 cm,1141,"Formula richness
(detected formulae)",1,1,1141
richness,19,2,2018-11-07,warmed,Warmed,10,0-10 cm,950,"Formula richness
(detected formulae)",1,1,950
richness,57,4,2018-11-07,warmed,Warmed,10,0-10 cm,1040,"Formula richness
(detected formulae)",1,1,1040
richness,20,2,2019-09-10,warmed,Warmed,10,0-10 cm,1392,"Formula richness
(detected formulae)",1,1,1392
richness,92,6,2019-09-10,warmed,Warmed,10,0-10 cm,825,"Formula richness
(detected formulae)",1,1,825
richness,58,4,2019-11-05,warmed,Warmed,10,0-10 cm,1490,"Formula richness
(detected formulae)",1,1,1490
richness,21,2,2019-12-03,warmed,Warmed,10,0-10 cm,867,"Formula richness
(detected formulae)",1,1,867
richness,59,4,2019-12-17,warmed,Warmed,10,0-10 cm,1382,"Formula richness
(detected formulae)",1,1,1382
richness,93,6,2019-12-17,warmed,Warmed,10,0-10 cm,759,"Formula richness
(detected formulae)",1,1,759
richness,60,4,2019-12-31,warmed,Warmed,10,0-10 cm,2125,"Formula richness
(detected formulae)",1,1,2125
richness,22,2,2020-01-28,warmed,Warmed,10,0-10 cm,773,"Formula richness
(detected formulae)",1,1,773
richness,61,4,2020-01-28,warmed,Warmed,10,0-10 cm,3580,"Formula richness
(detected formulae)",1,1,3580
richness,94,6,2020-01-28,warmed,Warmed,10,0-10 cm,1201,"Formula richness
(detected formulae)",1,1,1201
richness,95,6,2020-02-25,warmed,Warmed,10,0-10 cm,395,"Formula richness
(detected formulae)",1,1,395
richness,62,4,2020-03-10,warmed,Warmed,10,0-10 cm,4770,"Formula richness
(detected formulae)",1,1,4770
richness,96,6,2020-03-10,warmed,Warmed,10,0-10 cm,1335,"Formula richness
(detected formulae)",1,1,1335
richness,97,6,2020-07-28,warmed,Warmed,10,0-10 cm,777,"Formula richness
(detected formulae)",1,1,777
richness,98,6,2020-09-09,warmed,Warmed,10,0-10 cm,810,"Formula richness
(detected formulae)",1,1,810
richness,99,6,2020-10-06,warmed,Warmed,10,0-10 cm,748,"Formula richness
(detected formulae)",1,1,748
richness,100,6,2020-11-05,warmed,Warmed,10,0-10 cm,1639,"Formula richness
(detected formulae)",1,1,1639
richness,101,6,2021-02-09,warmed,Warmed,10,0-10 cm,311,"Formula richness
(detected formulae)",1,1,311
richness,102,6,2021-02-23,warmed,Warmed,10,0-10 cm,768,"Formula richness
(detected formulae)",1,1,768
richness,103,6,2021-06-03,warmed,Warmed,10,0-10 cm,806,"Formula richness
(detected formulae)",1,1,806
richness,23,2,2021-12-15,warmed,Warmed,10,0-10 cm,273,"Formula richness
(detected formulae)",1,1,273
richness,63,4,2021-12-15,warmed,Warmed,10,0-10 cm,198,"Formula richness
(detected formulae)",1,1,198
richness,104,6,2021-12-15,warmed,Warmed,10,0-10 cm,189,"Formula richness
(detected formulae)",1,1,189
richness,24,2,2022-08-23,warmed,Warmed,10,0-10 cm,679,"Formula richness
(detected formulae)",1,1,679
richness,105,6,2022-08-23,warmed,Warmed,10,0-10 cm,261,"Formula richness
(detected formulae)",1,1,261
richness,64,4,2022-09-08,warmed,Warmed,10,0-10 cm,213,"Formula richness
(detected formulae)",1,1,213
richness,106,6,2022-09-08,warmed,Warmed,10,0-10 cm,72,"Formula richness
(detected formulae)",1,1,72
richness,25,2,2022-11-16,warmed,Warmed,10,0-10 cm,211,"Formula richness
(detected formulae)",1,1,211
richness,65,4,2022-11-16,warmed,Warmed,10,0-10 cm,243,"Formula richness
(detected formulae)",1,1,243
richness,107,6,2022-11-16,warmed,Warmed,10,0-10 cm,545,"Formula richness
(detected formulae)",1,1,545
richness,66,4,2023-05-30,warmed,Warmed,10,0-10 cm,246,"Formula richness
(detected formulae)",1,1,246
richness,67,4,2023-12-27,warmed,Warmed,10,0-10 cm,534,"Formula richness
(detected formulae)",1,1,534
richness,68,4,2024-04-16,warmed,Warmed,10,0-10 cm,230,"Formula richness
(detected formulae)",1,1,230
richness,69,4,2024-04-30,warmed,Warmed,10,0-10 cm,311,"Formula richness
(detected formulae)",1,1,311
richness,126,3,2017-05-31,control,Control,30,10-30 cm,53,"Formula richness
(detected formulae)",1,1,53
richness,127,3,2017-11-22,control,Control,30,10-30 cm,30,"Formula richness
(detected formulae)",1,1,30
richness,128,3,2017-12-06,control,Control,30,10-30 cm,11,"Formula richness
(detected formulae)",1,1,11
richness,170,5,2017-12-06,control,Control,30,10-30 cm,87,"Formula richness
(detected formulae)",1,1,87
richness,129,3,2018-01-03,control,Control,30,10-30 cm,93,"Formula richness
(detected formulae)",1,1,93
richness,130,3,2018-01-30,control,Control,30,10-30 cm,92,"Formula richness
(detected formulae)",1,1,92
richness,131,3,2018-02-27,control,Control,30,10-30 cm,59,"Formula richness
(detected formulae)",1,1,59
richness,171,5,2018-03-27,control,Control,30,10-30 cm,78,"Formula richness
(detected formulae)",1,1,78
richness,132,3,2018-05-09,control,Control,30,10-30 cm,226,"Formula richness
(detected formulae)",1,1,226
richness,172,5,2018-05-09,control,Control,30,10-30 cm,315,"Formula richness
(detected formulae)",1,1,315
richness,133,3,2018-11-07,control,Control,30,10-30 cm,281,"Formula richness
(detected formulae)",1,1,281
richness,134,3,2019-09-10,control,Control,30,10-30 cm,115,"Formula richness
(detected formulae)",1,1,115
richness,135,3,2019-12-03,control,Control,30,10-30 cm,126,"Formula richness
(detected formulae)",1,1,126
richness,136,3,2020-01-14,control,Control,30,10-30 cm,127,"Formula richness
(detected formulae)",1,1,127
richness,108,1,2020-02-25,control,Control,30,10-30 cm,189,"Formula richness
(detected formulae)",1,1,189
richness,137,3,2020-02-25,control,Control,30,10-30 cm,176,"Formula richness
(detected formulae)",1,1,176
richness,138,3,2020-03-10,control,Control,30,10-30 cm,118,"Formula richness
(detected formulae)",1,1,118
richness,139,3,2020-07-28,control,Control,30,10-30 cm,97,"Formula richness
(detected formulae)",1,1,97
richness,173,5,2020-07-28,control,Control,30,10-30 cm,371,"Formula richness
(detected formulae)",1,1,371
richness,140,3,2020-09-09,control,Control,30,10-30 cm,190,"Formula richness
(detected formulae)",1,1,190
richness,141,3,2020-10-06,control,Control,30,10-30 cm,157,"Formula richness
(detected formulae)",1,1,157
richness,174,5,2020-10-06,control,Control,30,10-30 cm,290,"Formula richness
(detected formulae)",1,1,290
richness,142,3,2020-11-05,control,Control,30,10-30 cm,207,"Formula richness
(detected formulae)",1,1,207
richness,175,5,2020-11-05,control,Control,30,10-30 cm,186,"Formula richness
(detected formulae)",1,1,186
richness,143,3,2020-12-29,control,Control,30,10-30 cm,241,"Formula richness
(detected formulae)",1,1,241
richness,144,3,2021-02-09,control,Control,30,10-30 cm,214,"Formula richness
(detected formulae)",1,1,214
richness,176,5,2021-02-23,control,Control,30,10-30 cm,130,"Formula richness
(detected formulae)",1,1,130
richness,145,3,2021-06-03,control,Control,30,10-30 cm,227,"Formula richness
(detected formulae)",1,1,227
richness,109,1,2021-09-21,control,Control,30,10-30 cm,24,"Formula richness
(detected formulae)",1,1,24
richness,146,3,2021-12-15,control,Control,30,10-30 cm,58,"Formula richness
(detected formulae)",1,1,58
richness,110,1,2022-08-23,control,Control,30,10-30 cm,49,"Formula richness
(detected formulae)",1,1,49
richness,177,5,2022-08-23,control,Control,30,10-30 cm,28,"Formula richness
(detected formulae)",1,1,28
richness,111,1,2022-09-08,control,Control,30,10-30 cm,131,"Formula richness
(detected formulae)",1,1,131
richness,178,5,2022-09-08,control,Control,30,10-30 cm,13,"Formula richness
(detected formulae)",1,1,13
richness,179,5,2022-11-01,control,Control,30,10-30 cm,96,"Formula richness
(detected formulae)",1,1,96
richness,112,1,2022-11-16,control,Control,30,10-30 cm,333,"Formula richness
(detected formulae)",1,1,333
richness,113,1,2023-01-12,control,Control,30,10-30 cm,257,"Formula richness
(detected formulae)",1,1,257
richness,180,5,2023-01-12,control,Control,30,10-30 cm,280,"Formula richness
(detected formulae)",1,1,280
richness,181,5,2023-02-07,control,Control,30,10-30 cm,358,"Formula richness
(detected formulae)",1,1,358
richness,182,5,2023-05-02,control,Control,30,10-30 cm,491,"Formula richness
(detected formulae)",1,1,491
richness,114,1,2023-05-30,control,Control,30,10-30 cm,160,"Formula richness
(detected formulae)",1,1,160
richness,147,3,2023-05-30,control,Control,30,10-30 cm,608,"Formula richness
(detected formulae)",1,1,608
richness,115,1,2023-08-22,control,Control,30,10-30 cm,488,"Formula richness
(detected formulae)",1,1,488
richness,183,5,2023-10-03,control,Control,30,10-30 cm,650,"Formula richness
(detected formulae)",1,1,650
richness,116,1,2023-12-12,control,Control,30,10-30 cm,509,"Formula richness
(detected formulae)",1,1,509
richness,184,5,2024-04-30,control,Control,30,10-30 cm,480,"Formula richness
(detected formulae)",1,1,480
richness,148,4,2017-05-31,warmed,Warmed,30,10-30 cm,99,"Formula richness
(detected formulae)",1,1,99
richness,149,4,2017-11-22,warmed,Warmed,30,10-30 cm,237,"Formula richness
(detected formulae)",1,1,237
richness,150,4,2017-12-06,warmed,Warmed,30,10-30 cm,249,"Formula richness
(detected formulae)",1,1,249
richness,185,6,2017-12-06,warmed,Warmed,30,10-30 cm,526,"Formula richness
(detected formulae)",1,1,526
richness,152,4,2018-01-30,warmed,Warmed,30,10-30 cm,267,"Formula richness
(detected formulae)",1,1,267
richness,153,4,2018-02-27,warmed,Warmed,30,10-30 cm,63,"Formula richness
(detected formulae)",1,1,63
richness,154,4,2018-05-09,warmed,Warmed,30,10-30 cm,690,"Formula richness
(detected formulae)",1,1,690
richness,155,4,2018-11-07,warmed,Warmed,30,10-30 cm,376,"Formula richness
(detected formulae)",1,1,376
richness,156,4,2019-09-10,warmed,Warmed,30,10-30 cm,515,"Formula richness
(detected formulae)",1,1,515
richness,157,4,2019-12-03,warmed,Warmed,30,10-30 cm,565,"Formula richness
(detected formulae)",1,1,565
richness,158,4,2020-01-14,warmed,Warmed,30,10-30 cm,535,"Formula richness
(detected formulae)",1,1,535
richness,117,2,2020-02-25,warmed,Warmed,30,10-30 cm,556,"Formula richness
(detected formulae)",1,1,556
richness,159,4,2020-02-25,warmed,Warmed,30,10-30 cm,324,"Formula richness
(detected formulae)",1,1,324
richness,160,4,2020-03-10,warmed,Warmed,30,10-30 cm,634,"Formula richness
(detected formulae)",1,1,634
richness,161,4,2020-07-28,warmed,Warmed,30,10-30 cm,263,"Formula richness
(detected formulae)",1,1,263
richness,162,4,2020-09-09,warmed,Warmed,30,10-30 cm,156,"Formula richness
(detected formulae)",1,1,156
richness,186,6,2020-09-09,warmed,Warmed,30,10-30 cm,1485,"Formula richness
(detected formulae)",1,1,1485
richness,163,4,2020-10-06,warmed,Warmed,30,10-30 cm,437,"Formula richness
(detected formulae)",1,1,437
richness,187,6,2020-10-06,warmed,Warmed,30,10-30 cm,426,"Formula richness
(detected formulae)",1,1,426
richness,164,4,2020-11-05,warmed,Warmed,30,10-30 cm,214,"Formula richness
(detected formulae)",1,1,214
richness,165,4,2020-12-29,warmed,Warmed,30,10-30 cm,261,"Formula richness
(detected formulae)",1,1,261
richness,166,4,2021-02-09,warmed,Warmed,30,10-30 cm,282,"Formula richness
(detected formulae)",1,1,282
richness,188,6,2021-02-23,warmed,Warmed,30,10-30 cm,1013,"Formula richness
(detected formulae)",1,1,1013
richness,167,4,2021-06-03,warmed,Warmed,30,10-30 cm,132,"Formula richness
(detected formulae)",1,1,132
richness,118,2,2021-09-21,warmed,Warmed,30,10-30 cm,734,"Formula richness
(detected formulae)",1,1,734
richness,168,4,2021-12-15,warmed,Warmed,30,10-30 cm,442,"Formula richness
(detected formulae)",1,1,442
richness,119,2,2022-08-23,warmed,Warmed,30,10-30 cm,95,"Formula richness
(detected formulae)",1,1,95
richness,189,6,2022-08-23,warmed,Warmed,30,10-30 cm,74,"Formula richness
(detected formulae)",1,1,74
richness,120,2,2022-09-08,warmed,Warmed,30,10-30 cm,8,"Formula richness
(detected formulae)",1,1,8
richness,190,6,2022-09-08,warmed,Warmed,30,10-30 cm,236,"Formula richness
(detected formulae)",1,1,236
richness,191,6,2022-11-01,warmed,Warmed,30,10-30 cm,196,"Formula richness
(detected formulae)",1,1,196
richness,121,2,2022-11-16,warmed,Warmed,30,10-30 cm,142,"Formula richness
(detected formulae)",1,1,142
richness,122,2,2023-01-12,warmed,Warmed,30,10-30 cm,218,"Formula richness
(detected formulae)",1,1,218
richness,192,6,2023-01-12,warmed,Warmed,30,10-30 cm,174,"Formula richness
(detected formulae)",1,1,174
richness,193,6,2023-02-07,warmed,Warmed,30,10-30 cm,295,"Formula richness
(detected formulae)",1,1,295
richness,194,6,2023-05-02,warmed,Warmed,30,10-30 cm,211,"Formula richness
(detected formulae)",1,1,211
richness,123,2,2023-05-30,warmed,Warmed,30,10-30 cm,195,"Formula richness
(detected formulae)",1,1,195
richness,169,4,2023-05-30,warmed,Warmed,30,10-30 cm,187,"Formula richness
(detected formulae)",1,1,187
richness,124,2,2023-08-22,warmed,Warmed,30,10-30 cm,385,"Formula richness
(detected formulae)",1,1,385
richness,195,6,2023-10-03,warmed,Warmed,30,10-30 cm,387,"Formula richness
(detected formulae)",1,1,387
richness,125,2,2023-12-12,warmed,Warmed,30,10-30 cm,435,"Formula richness
(detected formulae)",1,1,435
richness,196,6,2024-04-30,warmed,Warmed,30,10-30 cm,520,"Formula richness
(detected formulae)",1,1,520
mean_nosc,1,1,2017-05-31,control,Control,10,0-10 cm,-0.388599443603992,"Mean NOSC
(formula-count mean)",1,2,-0.388599443603992
mean_nosc,70,5,2017-05-31,control,Control,10,0-10 cm,-0.400810628031344,"Mean NOSC
(formula-count mean)",1,2,-0.400810628031344
mean_nosc,26,3,2017-10-20,control,Control,10,0-10 cm,-0.551874981065233,"Mean NOSC
(formula-count mean)",1,2,-0.551874981065233
mean_nosc,2,1,2017-12-06,control,Control,10,0-10 cm,-0.403394058224192,"Mean NOSC
(formula-count mean)",1,2,-0.403394058224192
mean_nosc,27,3,2017-12-06,control,Control,10,0-10 cm,-0.190244149031229,"Mean NOSC
(formula-count mean)",1,2,-0.190244149031229
mean_nosc,28,3,2018-01-17,control,Control,10,0-10 cm,-0.512316265567959,"Mean NOSC
(formula-count mean)",1,2,-0.512316265567959
mean_nosc,29,3,2018-01-30,control,Control,10,0-10 cm,-0.459527062042587,"Mean NOSC
(formula-count mean)",1,2,-0.459527062042587
mean_nosc,30,3,2018-02-13,control,Control,10,0-10 cm,-0.533852423324399,"Mean NOSC
(formula-count mean)",1,2,-0.533852423324399
mean_nosc,31,3,2018-02-27,control,Control,10,0-10 cm,-0.589196694465334,"Mean NOSC
(formula-count mean)",1,2,-0.589196694465334
mean_nosc,3,1,2018-05-09,control,Control,10,0-10 cm,-0.411312764108134,"Mean NOSC
(formula-count mean)",1,2,-0.411312764108134
mean_nosc,32,3,2018-05-09,control,Control,10,0-10 cm,-0.583173129961382,"Mean NOSC
(formula-count mean)",1,2,-0.583173129961382
mean_nosc,4,1,2018-05-22,control,Control,10,0-10 cm,-0.401566510771441,"Mean NOSC
(formula-count mean)",1,2,-0.401566510771441
mean_nosc,33,3,2018-05-22,control,Control,10,0-10 cm,-0.626206225208024,"Mean NOSC
(formula-count mean)",1,2,-0.626206225208024
mean_nosc,5,1,2018-10-10,control,Control,10,0-10 cm,-0.426837569068144,"Mean NOSC
(formula-count mean)",1,2,-0.426837569068144
mean_nosc,71,5,2018-10-10,control,Control,10,0-10 cm,-0.467919180870329,"Mean NOSC
(formula-count mean)",1,2,-0.467919180870329
mean_nosc,34,3,2018-10-23,control,Control,10,0-10 cm,-0.480966864511532,"Mean NOSC
(formula-count mean)",1,2,-0.480966864511532
mean_nosc,72,5,2018-10-23,control,Control,10,0-10 cm,-0.509964138646522,"Mean NOSC
(formula-count mean)",1,2,-0.509964138646522
mean_nosc,6,1,2018-11-07,control,Control,10,0-10 cm,-0.434799802768483,"Mean NOSC
(formula-count mean)",1,2,-0.434799802768483
mean_nosc,35,3,2018-11-07,control,Control,10,0-10 cm,-0.83802278984964,"Mean NOSC
(formula-count mean)",1,2,-0.83802278984964
mean_nosc,7,1,2019-09-10,control,Control,10,0-10 cm,-0.432016965631344,"Mean NOSC
(formula-count mean)",1,2,-0.432016965631344
mean_nosc,73,5,2019-09-10,control,Control,10,0-10 cm,-0.406934343554849,"Mean NOSC
(formula-count mean)",1,2,-0.406934343554849
mean_nosc,36,3,2019-11-05,control,Control,10,0-10 cm,-0.581581761595171,"Mean NOSC
(formula-count mean)",1,2,-0.581581761595171
mean_nosc,8,1,2019-12-03,control,Control,10,0-10 cm,-0.38042659789746,"Mean NOSC
(formula-count mean)",1,2,-0.38042659789746
mean_nosc,37,3,2019-12-17,control,Control,10,0-10 cm,-0.690188507669201,"Mean NOSC
(formula-count mean)",1,2,-0.690188507669201
mean_nosc,74,5,2019-12-17,control,Control,10,0-10 cm,-0.448535268646629,"Mean NOSC
(formula-count mean)",1,2,-0.448535268646629
mean_nosc,38,3,2019-12-31,control,Control,10,0-10 cm,-0.6390764255372,"Mean NOSC
(formula-count mean)",1,2,-0.6390764255372
mean_nosc,9,1,2020-01-28,control,Control,10,0-10 cm,-0.309126187446995,"Mean NOSC
(formula-count mean)",1,2,-0.309126187446995
mean_nosc,39,3,2020-01-28,control,Control,10,0-10 cm,-0.649285432146859,"Mean NOSC
(formula-count mean)",1,2,-0.649285432146859
mean_nosc,75,5,2020-01-28,control,Control,10,0-10 cm,-0.409628099161373,"Mean NOSC
(formula-count mean)",1,2,-0.409628099161373
mean_nosc,76,5,2020-02-25,control,Control,10,0-10 cm,-0.478440498841957,"Mean NOSC
(formula-count mean)",1,2,-0.478440498841957
mean_nosc,40,3,2020-03-10,control,Control,10,0-10 cm,-0.653666251201886,"Mean NOSC
(formula-count mean)",1,2,-0.653666251201886
mean_nosc,77,5,2020-03-10,control,Control,10,0-10 cm,-0.448661982010686,"Mean NOSC
(formula-count mean)",1,2,-0.448661982010686
mean_nosc,78,5,2020-07-28,control,Control,10,0-10 cm,-0.381151925975785,"Mean NOSC
(formula-count mean)",1,2,-0.381151925975785
mean_nosc,79,5,2020-09-09,control,Control,10,0-10 cm,-0.400050812785564,"Mean NOSC
(formula-count mean)",1,2,-0.400050812785564
mean_nosc,80,5,2020-10-06,control,Control,10,0-10 cm,-0.471651626426407,"Mean NOSC
(formula-count mean)",1,2,-0.471651626426407
mean_nosc,81,5,2020-11-05,control,Control,10,0-10 cm,-0.443095078793492,"Mean NOSC
(formula-count mean)",1,2,-0.443095078793492
mean_nosc,82,5,2021-02-09,control,Control,10,0-10 cm,-0.486639518493949,"Mean NOSC
(formula-count mean)",1,2,-0.486639518493949
mean_nosc,83,5,2021-02-23,control,Control,10,0-10 cm,-0.476998850055294,"Mean NOSC
(formula-count mean)",1,2,-0.476998850055294
mean_nosc,84,5,2021-06-03,control,Control,10,0-10 cm,-0.506229997455514,"Mean NOSC
(formula-count mean)",1,2,-0.506229997455514
mean_nosc,10,1,2021-12-15,control,Control,10,0-10 cm,-0.474290158421361,"Mean NOSC
(formula-count mean)",1,2,-0.474290158421361
mean_nosc,41,3,2021-12-15,control,Control,10,0-10 cm,-0.776997867971875,"Mean NOSC
(formula-count mean)",1,2,-0.776997867971875
mean_nosc,85,5,2021-12-15,control,Control,10,0-10 cm,-0.491220082567184,"Mean NOSC
(formula-count mean)",1,2,-0.491220082567184
mean_nosc,11,1,2022-08-23,control,Control,10,0-10 cm,-0.496581372942867,"Mean NOSC
(formula-count mean)",1,2,-0.496581372942867
mean_nosc,86,5,2022-08-23,control,Control,10,0-10 cm,-0.511347091731356,"Mean NOSC
(formula-count mean)",1,2,-0.511347091731356
mean_nosc,12,1,2022-09-08,control,Control,10,0-10 cm,-0.461204660410384,"Mean NOSC
(formula-count mean)",1,2,-0.461204660410384
mean_nosc,42,3,2022-09-08,control,Control,10,0-10 cm,-0.634009004828006,"Mean NOSC
(formula-count mean)",1,2,-0.634009004828006
mean_nosc,87,5,2022-09-08,control,Control,10,0-10 cm,-0.44151202287904,"Mean NOSC
(formula-count mean)",1,2,-0.44151202287904
mean_nosc,13,1,2022-11-16,control,Control,10,0-10 cm,-0.528367726324329,"Mean NOSC
(formula-count mean)",1,2,-0.528367726324329
