response,feature,importance,feature_base,block
cue_wmean,vwc_20_30_sd90d,1.89878188599635e-06,vwc_20_30_sd90d,climate_flux
cue_wmean,vwc_40_50_sd30d__missing,1.84979216693026e-06,vwc_40_50_sd30d,climate_flux
cue_wmean,vwc_20_30_sd90d__missing,1.84366666821734e-06,vwc_20_30_sd90d,climate_flux
cue_wmean,vwc_sd30d__missing,1.81865094093503e-06,vwc_sd30d,climate_flux
cue_wmean,flux_sd30d__missing,1.52457656774296e-06,flux_sd30d,climate_flux
cue_wmean,temp_40_50_mean7d,1.49146351622065e-06,temp_40_50_mean7d,climate_flux
cue_wmean,tdn_mg_l_30cm_pwchemistry_mean180d,1.43640571673398e-06,tdn_mg_l_30cm_pwchemistry_mean180d,bgc_sparse
cue_wmean,vwc_20_30_mean30d__missing,1.42674751680794e-06,vwc_20_30_mean30d,climate_flux
cue_wmean,vwc_sd90d,1.37326511400904e-06,vwc_sd90d,climate_flux
cue_wmean,npoc_mg_l_30cm_pwchemistry_days_since365d,1.36595844406395e-06,npoc_mg_l_30cm_pwchemistry_days_since365d,bgc_sparse
cue_wmean,temp_40_50_sd7d__missing,1.31501673421464e-06,temp_40_50_sd7d,climate_flux
cue_wmean,nh4_ugN_mL_lysimiter_surface_chemistry_days_since365d,1.30067157232872e-06,nh4_ugN_mL_lysimiter_surface_chemistry_days_since365d,bgc_sparse
cue_wmean,vwc_mean90d,1.29078378240322e-06,vwc_mean90d,climate_flux
cue_wmean,rootmortality_g_m2_day_10_20_minirhizotron_mean180d,1.28120409660815e-06,rootmortality_g_m2_day_10_20_minirhizotron_mean180d,bgc_sparse
cue_wmean,rootstock_g_m2_20_30_minirhizotron_last365d,1.27209188290256e-06,rootstock_g_m2_20_30_minirhizotron_last365d,bgc_sparse
cue_wmean,rootmortality_g_m2_day_0_10_minirhizotron_last365d,1.24208780608992e-06,rootmortality_g_m2_day_0_10_minirhizotron_last365d,bgc_sparse
cue_wmean,rootstock_g_m2_0_10_minirhizotron_mean180d,1.20865282448257e-06,rootstock_g_m2_0_10_minirhizotron_mean180d,bgc_sparse
cue_wmean,flux_mean7d__missing,1.16942726925351e-06,flux_mean7d,climate_flux
cue_wmean,temperature_sd90d__missing,1.12670707379015e-06,temperature_sd90d,climate_flux
cue_wmean,flux_mean90d__missing,1.03514690811757e-06,flux_mean90d,climate_flux
cue_wmean,rootmortality_g_m2_day_10_20_minirhizotron_days_since365d,9.89773863467658e-07,rootmortality_g_m2_day_10_20_minirhizotron_days_since365d,bgc_sparse
cue_wmean,vwc_sd7d__missing,9.72569524315681e-07,vwc_sd7d,climate_flux
cue_wmean,temperature_mean7d,9.57255713926131e-07,temperature_mean7d,climate_flux
cue_wmean,doy_sin,9.53231427166967e-07,doy_sin,calendar_time
cue_wmean,rootmortality_g_m2_day_20_30_minirhizotron_days_since365d,9.44517400545797e-07,rootmortality_g_m2_day_20_30_minirhizotron_days_since365d,bgc_sparse
cue_wmean,vwc_40_50_sd30d,9.26719993302738e-07,vwc_40_50_sd30d,climate_flux
cue_wmean,vwc_40_50_sd7d,9.25612851825353e-07,vwc_40_50_sd7d,climate_flux
cue_wmean,vwc_20_30_sd30d,8.63761812201158e-07,vwc_20_30_sd30d,climate_flux
cue_wmean,rootgrowth_g_m2_day_0_10_minirhizotron_last365d__missing,8.45545311164209e-07,rootgrowth_g_m2_day_0_10_minirhizotron_last365d,bgc_sparse
cue_wmean,vwc_20_30_sd30d__missing,8.44847692349937e-07,vwc_20_30_sd30d,climate_flux
cue_wmean,rootmortality_g_m2_day_10_20_minirhizotron_last365d__missing,8.30464904527206e-07,rootmortality_g_m2_day_10_20_minirhizotron_last365d,bgc_sparse
cue_wmean,rootgrowth_g_m2_day_10_20_minirhizotron_days_since365d,7.48660134548995e-07,rootgrowth_g_m2_day_10_20_minirhizotron_days_since365d,bgc_sparse
cue_wmean,rootstock_g_m2_0_10_minirhizotron_last365d,7.35194263412842e-07,rootstock_g_m2_0_10_minirhizotron_last365d,bgc_sparse
cue_wmean,temp_20_30_mean90d__missing,7.18716627894356e-07,temp_20_30_mean90d,climate_flux
cue_wmean,rootstock_g_m2_20_30_minirhizotron_mean180d__missing,6.82431526873195e-07,rootstock_g_m2_20_30_minirhizotron_mean180d,bgc_sparse
cue_wmean,npoc_ug_mL_lysimiter_surface_chemistry_days_since365d,6.44512510837858e-07,npoc_ug_mL_lysimiter_surface_chemistry_days_since365d,bgc_sparse
cue_wmean,rootgrowth_g_m2_day_20_30_minirhizotron_last365d,6.3750880557234e-07,rootgrowth_g_m2_day_20_30_minirhizotron_last365d,bgc_sparse
cue_wmean,temp_20_30_sd90d,6.35029430085421e-07,temp_20_30_sd90d,climate_flux
cue_wmean,temperature_mean90d__missing,6.24595572909836e-07,temperature_mean90d,climate_flux
cue_wmean,rootgrowth_g_m2_day_0_10_minirhizotron_last365d,5.93895631094021e-07,rootgrowth_g_m2_day_0_10_minirhizotron_last365d,bgc_sparse
cue_wmean,rootstock_g_m2_0_10_minirhizotron_mean180d__missing,5.81425570542082e-07,rootstock_g_m2_0_10_minirhizotron_mean180d,bgc_sparse
cue_wmean,vwc_mean7d__missing,5.71772342458532e-07,vwc_mean7d,climate_flux
cue_wmean,po4_ugP_mL_lysimiter_surface_chemistry_days_since365d__missing,5.67551411903455e-07,po4_ugP_mL_lysimiter_surface_chemistry_days_since365d,bgc_sparse
cue_wmean,temp_40_50_mean7d__missing,5.57785211973583e-07,temp_40_50_mean7d,climate_flux
cue_wmean,vwc_40_50_mean90d__missing,5.53487763425009e-07,vwc_40_50_mean90d,climate_flux
cue_wmean,rootgrowth_g_m2_day_10_20_minirhizotron_mean180d,5.32315722219456e-07,rootgrowth_g_m2_day_10_20_minirhizotron_mean180d,bgc_sparse
cue_wmean,temp_20_30_mean7d__missing,5.21077414971094e-07,temp_20_30_mean7d,climate_flux
cue_wmean,temperature_sd7d__missing,5.03642323581577e-07,temperature_sd7d,climate_flux
cue_wmean,rootgrowth_g_m2_day_10_20_minirhizotron_days_since365d__missing,5.03456155440674e-07,rootgrowth_g_m2_day_10_20_minirhizotron_days_since365d,bgc_sparse
cue_wmean,vwc_20_30_mean7d__missing,4.99522731147506e-07,vwc_20_30_mean7d,climate_flux
cue_wmean,temp_20_30_mean30d__missing,4.94657045962965e-07,temp_20_30_mean30d,climate_flux
cue_wmean,flux_mean30d__missing,4.92830087311935e-07,flux_mean30d,climate_flux
cue_wmean,rootgrowth_g_m2_day_10_20_minirhizotron_mean180d__missing,4.92305479044664e-07,rootgrowth_g_m2_day_10_20_minirhizotron_mean180d,bgc_sparse
cue_wmean,npoc_mg_l_30cm_pwchemistry_last365d,4.83408626946291e-07,npoc_mg_l_30cm_pwchemistry_last365d,bgc_sparse
cue_wmean,rootgrowth_g_m2_day_20_30_minirhizotron_mean180d,4.75331951876434e-07,rootgrowth_g_m2_day_20_30_minirhizotron_mean180d,bgc_sparse
cue_wmean,rootmortality_g_m2_day_0_10_minirhizotron_days_since365d__missing,4.69408022818474e-07,rootmortality_g_m2_day_0_10_minirhizotron_days_since365d,bgc_sparse
cue_wmean,rootmortality_g_m2_day_20_30_minirhizotron_days_since365d__missing,4.47495659916752e-07,rootmortality_g_m2_day_20_30_minirhizotron_days_since365d,bgc_sparse
cue_wmean,rootstock_g_m2_20_30_minirhizotron_days_since365d__missing,4.40440722063729e-07,rootstock_g_m2_20_30_minirhizotron_days_since365d,bgc_sparse
cue_wmean,temp_20_30_sd30d__missing,4.31683137406047e-07,temp_20_30_sd30d,climate_flux
cue_wmean,temperature_mean7d__missing,4.28961967130492e-07,temperature_mean7d,climate_flux
cue_wmean,no3_ugN_mL_lysimiter_surface_chemistry_last365d__missing,4.11946034994726e-07,no3_ugN_mL_lysimiter_surface_chemistry_last365d,bgc_sparse
cue_wmean,rootstock_g_m2_10_20_minirhizotron_days_since365d__missing,3.62964455003612e-07,rootstock_g_m2_10_20_minirhizotron_days_since365d,bgc_sparse
cue_wmean,vwc_20_30_sd7d,3.61275202630518e-07,vwc_20_30_sd7d,climate_flux
cue_wmean,temp_40_50_sd7d,3.5938833895699e-07,temp_40_50_sd7d,climate_flux
cue_wmean,tfvol_ml_plotmean_throughfall_last365d__missing,3.51871760270184e-07,tfvol_ml_plotmean_throughfall_last365d,bgc_sparse
cue_wmean,temp_40_50_mean90d__missing,3.47007200214522e-07,temp_40_50_mean90d,climate_flux
cue_wmean,npoc_mgC_L_plotmean_throughfall_last365d__missing,3.35279384155562e-07,npoc_mgC_L_plotmean_throughfall_last365d,bgc_sparse
cue_wmean,temp_20_30_sd90d__missing,3.31225418263692e-07,temp_20_30_sd90d,climate_flux
cue_wmean,temperature_sd90d,3.28691667841108e-07,temperature_sd90d,climate_flux
cue_wmean,rootmortality_g_m2_day_0_10_minirhizotron_mean180d__missing,3.27361307103979e-07,rootmortality_g_m2_day_0_10_minirhizotron_mean180d,bgc_sparse
cue_wmean,rootstock_g_m2_0_10_minirhizotron_days_since365d__missing,3.16985313039364e-07,rootstock_g_m2_0_10_minirhizotron_days_since365d,bgc_sparse
cue_wmean,tn_ug_mL_lysimiter_surface_chemistry_mean180d__missing,3.12903933497699e-07,tn_ug_mL_lysimiter_surface_chemistry_mean180d,bgc_sparse
cue_wmean,tn_ug_mL_lysimiter_surface_chemistry_days_since365d__missing,2.9808809422005e-07,tn_ug_mL_lysimiter_surface_chemistry_days_since365d,bgc_sparse
cue_wmean,rootmortality_g_m2_day_0_10_minirhizotron_days_since365d,2.94494188493477e-07,rootmortality_g_m2_day_0_10_minirhizotron_days_since365d,bgc_sparse
cue_wmean,vwc_20_30_mean90d__missing,2.79355676124693e-07,vwc_20_30_mean90d,climate_flux
cue_wmean,npoc_mgC_L_plotmean_throughfall_last365d,2.67136654181099e-07,npoc_mgC_L_plotmean_throughfall_last365d,bgc_sparse
cue_wmean,vwc_mean7d,2.63744599218407e-07,vwc_mean7d,climate_flux
cue_wmean,vwc_20_30_sd7d__missing,2.63728186986389e-07,vwc_20_30_sd7d,climate_flux
cue_wmean,tdn_mgN_L_plotmean_throughfall_days_since365d,2.59139478605785e-07,tdn_mgN_L_plotmean_throughfall_days_since365d,bgc_sparse
cue_wmean,nh4_ugN_mL_lysimiter_surface_chemistry_days_since365d__missing,2.59062771865271e-07,nh4_ugN_mL_lysimiter_surface_chemistry_days_since365d,bgc_sparse
cue_wmean,vwc_40_50_sd7d__missing,2.55834240793229e-07,vwc_40_50_sd7d,climate_flux
cue_wmean,po4_ugP_mL_lysimiter_surface_chemistry_last365d__missing,2.4984429067243e-07,po4_ugP_mL_lysimiter_surface_chemistry_last365d,bgc_sparse
cue_wmean,flux_sd7d,2.15550232354422e-07,flux_sd7d,climate_flux
cue_wmean,rootmortality_g_m2_day_0_10_minirhizotron_last365d__missing,2.12915884236997e-07,rootmortality_g_m2_day_0_10_minirhizotron_last365d,bgc_sparse
cue_wmean,rootstock_g_m2_0_10_minirhizotron_last365d__missing,2.11285224505309e-07,rootstock_g_m2_0_10_minirhizotron_last365d,bgc_sparse
cue_wmean,temperature_mean90d,1.9468215423335e-07,temperature_mean90d,climate_flux
cue_wmean,tfvol_ml_plotmean_throughfall_mean180d__missing,1.85669799269483e-07,tfvol_ml_plotmean_throughfall_mean180d,bgc_sparse
cue_wmean,temp_20_30_sd7d__missing,1.83228635979082e-07,temp_20_30_sd7d,climate_flux
cue_wmean,rootgrowth_g_m2_day_0_10_minirhizotron_mean180d__missing,1.73753104377949e-07,rootgrowth_g_m2_day_0_10_minirhizotron_mean180d,bgc_sparse
cue_wmean,npoc_mgC_L_plotmean_throughfall_mean180d,1.62459162032613e-07,npoc_mgC_L_plotmean_throughfall_mean180d,bgc_sparse
cue_wmean,rootstock_g_m2_10_20_minirhizotron_mean180d__missing,1.47289873599021e-07,rootstock_g_m2_10_20_minirhizotron_mean180d,bgc_sparse
cue_wmean,rootgrowth_g_m2_day_0_10_minirhizotron_days_since365d__missing,1.29328334958378e-07,rootgrowth_g_m2_day_0_10_minirhizotron_days_since365d,bgc_sparse
cue_wmean,rootstock_g_m2_20_30_minirhizotron_last365d__missing,1.26409248117687e-07,rootstock_g_m2_20_30_minirhizotron_last365d,bgc_sparse
cue_wmean,tfvol_ml_plotmean_throughfall_days_since365d__missing,1.24728360424875e-07,tfvol_ml_plotmean_throughfall_days_since365d,bgc_sparse
cue_wmean,rootstock_g_m2_10_20_minirhizotron_last365d__missing,1.14802898428801e-07,rootstock_g_m2_10_20_minirhizotron_last365d,bgc_sparse
cue_wmean,temp_20_30_sd30d,1.11753784794777e-07,temp_20_30_sd30d,climate_flux
cue_wmean,rootstock_g_m2_20_30_minirhizotron_days_since365d,1.09923556920632e-07,rootstock_g_m2_20_30_minirhizotron_days_since365d,bgc_sparse
cue_wmean,no3_ugN_mL_lysimiter_surface_chemistry_days_since365d__missing,1.06321039474944e-07,no3_ugN_mL_lysimiter_surface_chemistry_days_since365d,bgc_sparse
cue_wmean,temp_40_50_mean30d__missing,8.78739110179438e-08,temp_40_50_mean30d,climate_flux
cue_wmean,rootstock_g_m2_10_20_minirhizotron_days_since365d,8.78689763372798e-08,rootstock_g_m2_10_20_minirhizotron_days_since365d,bgc_sparse
cue_wmean,tdn_mgN_L_plotmean_throughfall_days_since365d__missing,8.47392169305294e-08,tdn_mgN_L_plotmean_throughfall_days_since365d,bgc_sparse
cue_wmean,rootmortality_g_m2_day_10_20_minirhizotron_days_since365d__missing,6.9270125968135e-08,rootmortality_g_m2_day_10_20_minirhizotron_days_since365d,bgc_sparse
cue_wmean,po4_ugP_mL_lysimiter_surface_chemistry_days_since365d,6.59686761219636e-08,po4_ugP_mL_lysimiter_surface_chemistry_days_since365d,bgc_sparse
cue_wmean,nh4_ugN_mL_lysimiter_surface_chemistry_last365d__missing,6.5831583573317e-08,nh4_ugN_mL_lysimiter_surface_chemistry_last365d,bgc_sparse
cue_wmean,temp_40_50_sd90d__missing,5.89304629667886e-08,temp_40_50_sd90d,climate_flux
cue_wmean,rootgrowth_g_m2_day_10_20_minirhizotron_last365d__missing,5.23707514927807e-08,rootgrowth_g_m2_day_10_20_minirhizotron_last365d,bgc_sparse
cue_wmean,npoc_ug_mL_lysimiter_surface_chemistry_last365d__missing,5.0841022201098e-08,npoc_ug_mL_lysimiter_surface_chemistry_last365d,bgc_sparse
cue_wmean,tdn_mgN_L_plotmean_throughfall_mean180d__missing,4.93225644337958e-08,tdn_mgN_L_plotmean_throughfall_mean180d,bgc_sparse
cue_wmean,rootmortality_g_m2_day_10_20_minirhizotron_mean180d__missing,3.42804615045544e-08,rootmortality_g_m2_day_10_20_minirhizotron_mean180d,bgc_sparse
cue_wmean,rootmortality_g_m2_day_20_30_minirhizotron_last365d__missing,3.30542281610224e-08,rootmortality_g_m2_day_20_30_minirhizotron_last365d,bgc_sparse
cue_wmean,tdn_mgN_L_plotmean_throughfall_mean180d,3.04266332815661e-08,tdn_mgN_L_plotmean_throughfall_mean180d,bgc_sparse
cue_wmean,rootmortality_g_m2_day_20_30_minirhizotron_last365d,2.39209821111253e-08,rootmortality_g_m2_day_20_30_minirhizotron_last365d,bgc_sparse
cue_wmean,rootgrowth_g_m2_day_20_30_minirhizotron_last365d__missing,7.38607392669621e-09,rootgrowth_g_m2_day_20_30_minirhizotron_last365d,bgc_sparse
cue_wmean,tfvol_ml_plotmean_throughfall_last365d,6.36203199388952e-09,tfvol_ml_plotmean_throughfall_last365d,bgc_sparse
cue_wmean,npoc_mgC_L_plotmean_throughfall_days_since365d,5.77069395601981e-09,npoc_mgC_L_plotmean_throughfall_days_since365d,bgc_sparse
cue_wmean,npoc_mg_l_30cm_pwchemistry_mean180d__missing,0,npoc_mg_l_30cm_pwchemistry_mean180d,bgc_sparse
cue_wmean,tdn_mg_l_30cm_pwchemistry_mean180d__missing,0,tdn_mg_l_30cm_pwchemistry_mean180d,bgc_sparse
cue_wmean,temperature_sd30d,-1.09195714392829e-08,temperature_sd30d,climate_flux
cue_wmean,tdn_mgN_L_plotmean_throughfall_last365d,-1.26507066311454e-08,tdn_mgN_L_plotmean_throughfall_last365d,bgc_sparse
cue_wmean,npoc_mg_l_10cm_pwchemistry_mean180d__missing,-1.53804737281771e-08,npoc_mg_l_10cm_pwchemistry_mean180d,bgc_sparse
cue_wmean,tfvol_ml_plotmean_throughfall_mean180d,-2.11543337960141e-08,tfvol_ml_plotmean_throughfall_mean180d,bgc_sparse
cue_wmean,rootmortality_g_m2_day_20_30_minirhizotron_mean180d__missing,-2.32573611411713e-08,rootmortality_g_m2_day_20_30_minirhizotron_mean180d,bgc_sparse
cue_wmean,npoc_ug_mL_lysimiter_surface_chemistry_mean180d,-3.02503205953375e-08,npoc_ug_mL_lysimiter_surface_chemistry_mean180d,bgc_sparse
cue_wmean,tdn_mg_l_10cm_pwchemistry_mean180d__missing,-4.54907630174084e-08,tdn_mg_l_10cm_pwchemistry_mean180d,bgc_sparse
cue_wmean,npoc_mgC_L_plotmean_throughfall_days_since365d__missing,-5.0750871377625e-08,npoc_mgC_L_plotmean_throughfall_days_since365d,bgc_sparse
cue_wmean,rootgrowth_g_m2_day_20_30_minirhizotron_days_since365d__missing,-6.13213509850219e-08,rootgrowth_g_m2_day_20_30_minirhizotron_days_since365d,bgc_sparse
cue_wmean,rootgrowth_g_m2_day_0_10_minirhizotron_days_since365d,-6.6488187160596e-08,rootgrowth_g_m2_day_0_10_minirhizotron_days_since365d,bgc_sparse
cue_wmean,npoc_ug_mL_lysimiter_surface_chemistry_mean180d__missing,-7.50472897992349e-08,npoc_ug_mL_lysimiter_surface_chemistry_mean180d,bgc_sparse
cue_wmean,tdn_mgN_L_plotmean_throughfall_last365d__missing,-8.17127147922925e-08,tdn_mgN_L_plotmean_throughfall_last365d,bgc_sparse
cue_wmean,vwc_mean30d__missing,-8.90215130862071e-08,vwc_mean30d,climate_flux
cue_wmean,vwc_sd7d,-9.04844109577141e-08,vwc_sd7d,climate_flux
cue_wmean,temperature_mean30d,-9.06495765709003e-08,temperature_mean30d,climate_flux
cue_wmean,rootgrowth_g_m2_day_20_30_minirhizotron_mean180d__missing,-1.00216745203108e-07,rootgrowth_g_m2_day_20_30_minirhizotron_mean180d,bgc_sparse
cue_wmean,vwc_sd90d__missing,-1.07798098913925e-07,vwc_sd90d,climate_flux
cue_wmean,temperature_mean30d__missing,-1.08601667605734e-07,temperature_mean30d,climate_flux
cue_wmean,npoc_mgC_L_plotmean_throughfall_mean180d__missing,-1.15631105189085e-07,npoc_mgC_L_plotmean_throughfall_mean180d,bgc_sparse
cue_wmean,flux_sd7d__missing,-1.24870197319993e-07,flux_sd7d,climate_flux
cue_wmean,tn_ug_mL_lysimiter_surface_chemistry_last365d__missing,-1.31357799569187e-07,tn_ug_mL_lysimiter_surface_chemistry_last365d,bgc_sparse
cue_wmean,vwc_40_50_mean30d__missing,-1.38633499632057e-07,vwc_40_50_mean30d,climate_flux
cue_wmean,rootmortality_g_m2_day_10_20_minirhizotron_last365d,-2.45011357089098e-07,rootmortality_g_m2_day_10_20_minirhizotron_last365d,bgc_sparse
cue_wmean,flux_sd30d,-2.54909876176601e-07,flux_sd30d,climate_flux
cue_wmean,tfvol_ml_plotmean_throughfall_days_since365d,-2.95688010496731e-07,tfvol_ml_plotmean_throughfall_days_since365d,bgc_sparse
cue_wmean,vwc_mean90d__missing,-3.02679660011185e-07,vwc_mean90d,climate_flux
cue_wmean,temp_40_50_sd30d,-3.46572910016718e-07,temp_40_50_sd30d,climate_flux
cue_wmean,temp_40_50_sd30d__missing,-3.74174945859007e-07,temp_40_50_sd30d,climate_flux
cue_wmean,npoc_ug_mL_lysimiter_surface_chemistry_days_since365d__missing,-4.88725320936023e-07,npoc_ug_mL_lysimiter_surface_chemistry_days_since365d,bgc_sparse
cue_wmean,temp_20_30_sd7d,-7.07210031818839e-07,temp_20_30_sd7d,climate_flux
cue_wmean,tdn_mg_l_10cm_pwchemistry_mean180d,-7.93542381463119e-07,tdn_mg_l_10cm_pwchemistry_mean180d,bgc_sparse
cue_wmean,doy_cos,-8.15168350257967e-07,doy_cos,calendar_time
cue_wmean,flux_sd90d,-8.28429614019299e-07,flux_sd90d,climate_flux
cue_wmean,rootgrowth_g_m2_day_20_30_minirhizotron_days_since365d,-1.43591410527399e-06,rootgrowth_g_m2_day_20_30_minirhizotron_days_since365d,bgc_sparse
cue_wmean,litterfall_mean_g_m2_days_since365d,-1.51591667272211e-06,litterfall_mean_g_m2_days_since365d,bgc_sparse
