output_column,role,analysis_group,source_column,source_file,source_grain,aggregation,description,datasource,measurement,unit,depth,source_summary_stat,source_summary_class,source_observation_count_full_daily_table,notes,output_index,output_type,output_nonmissing_rows,output_nonmissing_fraction,analysis_start,analysis_end,output_grain,join_key,missing_value
no3_ugN_lysimiter.surface.chemistry__monthly_mean,covariate,porewater,no3_ugN_lysimiter.surface.chemistry,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily no3_ugN_lysimiter.surface.chemistry values within plot.,lysimiter.surface.chemistry,no3,ugN,,,none,626,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",18,numeric,304,0.603174603174603,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
npoc_mg.l_10cm_pwchemistry__monthly_mean,covariate,porewater,npoc_mg.l_10cm_pwchemistry,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily npoc_mg.l_10cm_pwchemistry values within plot.,pwchemistry,npoc,mg.l,10cm,,none,653,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",19,numeric,333,0.660714285714286,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
npoc_mg.l_30cm_pwchemistry__monthly_mean,covariate,porewater,npoc_mg.l_30cm_pwchemistry,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily npoc_mg.l_30cm_pwchemistry values within plot.,pwchemistry,npoc,mg.l,30cm,,none,720,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",20,numeric,366,0.726190476190476,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
npoc_mg.l_50cm_pwchemistry__monthly_mean,covariate,porewater,npoc_mg.l_50cm_pwchemistry,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily npoc_mg.l_50cm_pwchemistry values within plot.,pwchemistry,npoc,mg.l,50cm,,none,581,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",21,numeric,339,0.672619047619048,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
npoc_mg_10cm_pwchemistry__monthly_mean,covariate,porewater,npoc_mg_10cm_pwchemistry,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily npoc_mg_10cm_pwchemistry values within plot.,pwchemistry,npoc,mg,10cm,,none,548,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",22,numeric,333,0.660714285714286,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
npoc_mg_30cm_pwchemistry__monthly_mean,covariate,porewater,npoc_mg_30cm_pwchemistry,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily npoc_mg_30cm_pwchemistry values within plot.,pwchemistry,npoc,mg,30cm,,none,607,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",23,numeric,365,0.724206349206349,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
npoc_mg_50cm_pwchemistry__monthly_mean,covariate,porewater,npoc_mg_50cm_pwchemistry,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily npoc_mg_50cm_pwchemistry values within plot.,pwchemistry,npoc,mg,50cm,,none,576,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",24,numeric,337,0.668650793650794,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
npoc_ug.mL_lysimiter.surface.chemistry__monthly_mean,covariate,porewater,npoc_ug.mL_lysimiter.surface.chemistry,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily npoc_ug.mL_lysimiter.surface.chemistry values within plot.,lysimiter.surface.chemistry,npoc,ug.mL,,,none,1014,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",25,numeric,451,0.89484126984127,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
npoc_ug_lysimiter.surface.chemistry__monthly_mean,covariate,porewater,npoc_ug_lysimiter.surface.chemistry,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily npoc_ug_lysimiter.surface.chemistry values within plot.,lysimiter.surface.chemistry,npoc,ug,,,none,1009,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",26,numeric,451,0.89484126984127,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
po4_ugP.mL_lysimiter.surface.chemistry__monthly_mean,covariate,porewater,po4_ugP.mL_lysimiter.surface.chemistry,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily po4_ugP.mL_lysimiter.surface.chemistry values within plot.,lysimiter.surface.chemistry,po4,ugP.mL,,,none,626,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",27,numeric,304,0.603174603174603,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
po4_ugP_lysimiter.surface.chemistry__monthly_mean,covariate,porewater,po4_ugP_lysimiter.surface.chemistry,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily po4_ugP_lysimiter.surface.chemistry values within plot.,lysimiter.surface.chemistry,po4,ugP,,,none,626,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",28,numeric,304,0.603174603174603,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
tdn_mg.l_10cm_pwchemistry__monthly_mean,covariate,porewater,tdn_mg.l_10cm_pwchemistry,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily tdn_mg.l_10cm_pwchemistry values within plot.,pwchemistry,tdn,mg.l,10cm,,none,653,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",29,numeric,333,0.660714285714286,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
tdn_mg.l_30cm_pwchemistry__monthly_mean,covariate,porewater,tdn_mg.l_30cm_pwchemistry,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily tdn_mg.l_30cm_pwchemistry values within plot.,pwchemistry,tdn,mg.l,30cm,,none,720,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",30,numeric,366,0.726190476190476,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
tdn_mg.l_50cm_pwchemistry__monthly_mean,covariate,porewater,tdn_mg.l_50cm_pwchemistry,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily tdn_mg.l_50cm_pwchemistry values within plot.,pwchemistry,tdn,mg.l,50cm,,none,581,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",31,numeric,339,0.672619047619048,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
tdn_mg_10cm_pwchemistry__monthly_mean,covariate,porewater,tdn_mg_10cm_pwchemistry,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily tdn_mg_10cm_pwchemistry values within plot.,pwchemistry,tdn,mg,10cm,,none,548,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",32,numeric,333,0.660714285714286,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
tdn_mg_30cm_pwchemistry__monthly_mean,covariate,porewater,tdn_mg_30cm_pwchemistry,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily tdn_mg_30cm_pwchemistry values within plot.,pwchemistry,tdn,mg,30cm,,none,607,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",33,numeric,365,0.724206349206349,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
tdn_mg_50cm_pwchemistry__monthly_mean,covariate,porewater,tdn_mg_50cm_pwchemistry,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily tdn_mg_50cm_pwchemistry values within plot.,pwchemistry,tdn,mg,50cm,,none,576,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",34,numeric,337,0.668650793650794,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
tn_ug.mL_lysimiter.surface.chemistry__monthly_mean,covariate,porewater,tn_ug.mL_lysimiter.surface.chemistry,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily tn_ug.mL_lysimiter.surface.chemistry values within plot.,lysimiter.surface.chemistry,tn,ug.mL,,,none,1014,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",35,numeric,451,0.89484126984127,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
tn_ug_lysimiter.surface.chemistry__monthly_mean,covariate,porewater,tn_ug_lysimiter.surface.chemistry,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily tn_ug_lysimiter.surface.chemistry values within plot.,lysimiter.surface.chemistry,tn,ug,,,none,1008,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",36,numeric,450,0.892857142857143,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
core.root.mass_g_rootsoilcores__monthly_mean,covariate,core,core.root.mass_g_rootsoilcores,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily core.root.mass_g_rootsoilcores values within plot.,rootsoilcores,core.root.mass,g,,,none,44,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",37,numeric,17,0.0337301587301587,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
ext.c_ug.g.soil_SD_nutrient.cores__monthly_mean,covariate,core,ext.c_ug.g.soil_SD_nutrient.cores,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily ext.c_ug.g.soil_SD_nutrient.cores values within plot.,nutrient.cores,ext.c,ug.g.soil,,SD,spread,96,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",38,numeric,78,0.154761904761905,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
ext.c_ug.g.soil_mean_nutrient.cores__monthly_mean,covariate,core,ext.c_ug.g.soil_mean_nutrient.cores,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily ext.c_ug.g.soil_mean_nutrient.cores values within plot.,nutrient.cores,ext.c,ug.g.soil,,mean,mean,120,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",39,numeric,84,0.166666666666667,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
ext.n_ug.g.soil_SD_nutrient.cores__monthly_mean,covariate,core,ext.n_ug.g.soil_SD_nutrient.cores,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily ext.n_ug.g.soil_SD_nutrient.cores values within plot.,nutrient.cores,ext.n,ug.g.soil,,SD,spread,96,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",40,numeric,78,0.154761904761905,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
ext.n_ug.g.soil_mean_nutrient.cores__monthly_mean,covariate,core,ext.n_ug.g.soil_mean_nutrient.cores,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily ext.n_ug.g.soil_mean_nutrient.cores values within plot.,nutrient.cores,ext.n,ug.g.soil,,mean,mean,120,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",41,numeric,84,0.166666666666667,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
live.root.mass_g_rootsoilcores__monthly_mean,covariate,core,live.root.mass_g_rootsoilcores,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily live.root.mass_g_rootsoilcores values within plot.,rootsoilcores,live.root.mass,g,,,none,44,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",42,numeric,17,0.0337301587301587,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
nh4.min_ug.g.soil.day_SD_nutrient.cores__monthly_mean,covariate,core,nh4.min_ug.g.soil.day_SD_nutrient.cores,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily nh4.min_ug.g.soil.day_SD_nutrient.cores values within plot.,nutrient.cores,nh4.min,ug.g.soil.day,,SD,spread,84,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",43,numeric,72,0.142857142857143,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
nh4.min_ug.g.soil.day_mean_nutrient.cores__monthly_mean,covariate,core,nh4.min_ug.g.soil.day_mean_nutrient.cores,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily nh4.min_ug.g.soil.day_mean_nutrient.cores values within plot.,nutrient.cores,nh4.min,ug.g.soil.day,,mean,mean,102,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",44,numeric,72,0.142857142857143,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
nh4_ug.g.soil_SD_nutrient.cores__monthly_mean,covariate,core,nh4_ug.g.soil_SD_nutrient.cores,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily nh4_ug.g.soil_SD_nutrient.cores values within plot.,nutrient.cores,nh4,ug.g.soil,,SD,spread,90,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",45,numeric,78,0.154761904761905,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
nh4_ug.g.soil_mean_nutrient.cores__monthly_mean,covariate,core,nh4_ug.g.soil_mean_nutrient.cores,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily nh4_ug.g.soil_mean_nutrient.cores values within plot.,nutrient.cores,nh4,ug.g.soil,,mean,mean,108,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",46,numeric,78,0.154761904761905,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
no3.min_ug.g.soil.day_SD_nutrient.cores__monthly_mean,covariate,core,no3.min_ug.g.soil.day_SD_nutrient.cores,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily no3.min_ug.g.soil.day_SD_nutrient.cores values within plot.,nutrient.cores,no3.min,ug.g.soil.day,,SD,spread,84,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",47,numeric,72,0.142857142857143,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
no3.min_ug.g.soil.day_mean_nutrient.cores__monthly_mean,covariate,core,no3.min_ug.g.soil.day_mean_nutrient.cores,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily no3.min_ug.g.soil.day_mean_nutrient.cores values within plot.,nutrient.cores,no3.min,ug.g.soil.day,,mean,mean,102,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",48,numeric,72,0.142857142857143,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
no3_ug.g.soil_SD_nutrient.cores__monthly_mean,covariate,core,no3_ug.g.soil_SD_nutrient.cores,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily no3_ug.g.soil_SD_nutrient.cores values within plot.,nutrient.cores,no3,ug.g.soil,,SD,spread,90,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",49,numeric,78,0.154761904761905,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
no3_ug.g.soil_mean_nutrient.cores__monthly_mean,covariate,core,no3_ug.g.soil_mean_nutrient.cores,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily no3_ug.g.soil_mean_nutrient.cores values within plot.,nutrient.cores,no3,ug.g.soil,,mean,mean,108,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",50,numeric,78,0.154761904761905,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
po4_ug.g.soil_SD_nutrient.cores__monthly_mean,covariate,core,po4_ug.g.soil_SD_nutrient.cores,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily po4_ug.g.soil_SD_nutrient.cores values within plot.,nutrient.cores,po4,ug.g.soil,,SD,spread,96,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",51,numeric,78,0.154761904761905,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
po4_ug.g.soil_mean_nutrient.cores__monthly_mean,covariate,core,po4_ug.g.soil_mean_nutrient.cores,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily po4_ug.g.soil_mean_nutrient.cores values within plot.,nutrient.cores,po4,ug.g.soil,,mean,mean,114,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",52,numeric,78,0.154761904761905,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
root.C_count_rootsoilcores__monthly_mean,covariate,core,root.C_count_rootsoilcores,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily root.C_count_rootsoilcores values within plot.,rootsoilcores,root.C,count,,,none,44,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",53,numeric,17,0.0337301587301587,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
root.C_percent_rootsoilcores__monthly_mean,covariate,core,root.C_percent_rootsoilcores,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily root.C_percent_rootsoilcores values within plot.,rootsoilcores,root.C,percent,,,none,44,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",54,numeric,17,0.0337301587301587,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
root.N_percent_rootsoilcores__monthly_mean,covariate,core,root.N_percent_rootsoilcores,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily root.N_percent_rootsoilcores values within plot.,rootsoilcores,root.N,percent,,,none,44,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",55,numeric,17,0.0337301587301587,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
